Gene,Base,Vec,Bait1,Bait2,Enr1,Enr2,AdjEnr1,AdjEnr2,pBait1_Vec,pBait2_Vec,pBait1_Bait2,pBait2_Bait1,pBait1,pBait2
ALDH4A1,138.685956119678,8.4354762591506,1018.24206547814,97.0469906068729,6.90694006242482,3.51635904149022,3.2070559862892,-2.72029342035885,0.984537940382246,0.010364921743845,0.991568542503365,0.00843145749663481,0.976236850584088,8.73913971391751e-05
LDB3,231.456294081956,13.5313524554552,1613.22334017914,182.175929735709,6.89221993483178,3.74602920321191,3.08771369752581,-2.61530654886079,0.985758101361415,0.0163065908147582,0.989632725244923,0.0103672747550767,0.975538476282559,0.000169054907295208
KCNJ5,25.4763814239989,0.991333768157004,825.811573442866,224.740399300127,9.63132361957998,7.754004054597,5.60320818204216,0.88704605707506,0.999958207349648,0.742630859205903,0.973154092016294,0.0268459079837061,0.973113421327587,0.0199365997121023
ASTE1,8.74959832493463,0.991333768157004,66.0131508551508,1.13505252171781,5.98734131972921,0.186518445839462,2.87196733608451,-4.54795624259862,0.972387003630319,0.000485642830677458,0.998523026627214,0.00147697337278613,0.970950813917914,7.1728152959509e-07
SLAMF7,29.0311873446079,1.11648077011341,119.945463645307,4.54021008687125,6.68467353230832,1.97639766095566,2.87882246711646,-3.9471818428756,0.973131414793814,0.00112899298641267,0.996721624321824,0.00327837567817616,0.969941124431885,3.70126314748677e-06
USP13,368.084092467041,23.6851418934438,1754.74172894051,64.1304674770563,6.20813132672812,1.43510962343216,2.69302558172058,-4.1340050106845,0.97137757490669,0.000685421401418494,0.996917045279207,0.00308295472079285,0.968382861826459,2.1131231452356e-06
NME8,5956.2285174432,283.562916025426,22140.2930466148,1379.08881388714,6.28661052955675,2.28177253413606,2.54769544137383,-3.63650729507953,0.966375925666196,0.00171828915750754,0.995789641583331,0.00421035841666939,0.962307136653901,7.23461321658364e-06
CPZ,16.316214277214,0.371925917478416,48.7548107623009,1.13505252171781,6.85388984301025,1.48988938575988,2.70862684393015,-4.39015487856998,0.96132274394992,0.000885435895324928,0.997800404808685,0.00219959519131519,0.959208223065026,1.94760053757457e-06
HSPH1,150.818761149642,8.43336720611613,824.948656438224,126.558356171536,6.60361094867774,3.89959180484577,2.80026209266419,-2.44335710347098,0.972786988358952,0.023368095729343,0.985871714078441,0.0141282859215587,0.959043175646645,0.000330151137906513
VPS26A,46.4368466434435,5.08814300184486,1125.67523255613,436.995220861357,7.77539197843494,6.41039170913704,4.12577257815888,-0.0391785549939661,0.996671261327264,0.487571417282669,0.961711080418207,0.0382889195817935,0.95850979555282,0.0186685827867172
SQSTM1,35.4212544642148,2.10851755594857,182.075487979566,10.7829989563192,6.39874820079702,2.32731995524391,2.7175569687227,-3.58320358538984,0.964690912899039,0.00189957367412011,0.993456399471748,0.00654360052825175,0.958378360931793,1.24300512974255e-05
CASQ1,44.285660890164,1.8610356227484,151.010475812436,5.67526260858906,6.3046277548094,1.58298719763878,2.57044986174134,-4.14281502664173,0.960819288157672,0.000910980475434918,0.99631190083639,0.00368809916361038,0.957275691344637,3.35978632951691e-06
RNF2,18.5857789173811,13.6283787502853,535.440001380667,64.6979937379152,5.29089048941616,2.24293824774106,2.46299324011523,-3.03524145277124,0.956915485005313,0.00763414255665763,0.986804659127235,0.0131953408727649,0.944288658994241,0.000100735113306379
NEDD4L,52.7396449631213,3.34663023962759,185.095697495815,4.54021008687125,5.76841304001538,0.434456011466424,2.27866523872559,-4.74085354243281,0.939586621160273,0.000256949468754289,0.997712910728839,0.00228708927116071,0.937437702679691,5.87666373218379e-07
TCN1,40.3609772976327,1.73518560311384,118.219629636022,5.67526260858906,6.04986176557259,1.68126779190123,2.29191705972421,-4.09603811302627,0.936794275021511,0.000590001125065063,0.99472192971376,0.00527807028623968,0.9318498089942,3.11406740705389e-06
TUBA1B,92.7669120436378,5.70755085252345,308.924287662013,12.4855777388959,5.74588772574679,1.12250133501057,2.17575015423696,-4.38172918845357,0.934862823626928,0.000312538266639671,0.996081509958724,0.00391849004127632,0.931199572962586,1.22467808534531e-06
TWF2,18.8341060958458,0.868998836913237,57.8154393110471,3.40515756515343,5.97649509610901,1.91061656241951,2.23667622575777,-3.92197972931823,0.93387025913065,0.00100736981709759,0.99323557329004,0.00676442670996018,0.92755316220615,6.81427929758263e-06
SMARCB1,335.459506830573,17.107889186329,1225.77360509466,187.283666083439,6.15873550203683,3.44866620799785,2.30423503666318,-2.81458248954034,0.94220817043259,0.0101778115349647,0.981922896519589,0.0180771034804109,0.925175775835592,0.000183985352321676
NTRK3,51.2064544944745,1.73659163847015,124.69150717084,12.4855777388959,6.12558787003076,2.81074666839805,2.18623180170714,-3.44539524805933,0.933556512522274,0.0032185535226993,0.987578382943933,0.0124216170560671,0.921960231023525,3.99796393334264e-05
ARHGEF5,30.751866434788,0.745257870313151,62.1300243342595,3.40515756515343,6.28888462650892,2.11925685351118,2.08683859698604,-4.05046988111192,0.917750823079571,0.000986620303533973,0.994341608375502,0.00565839162449778,0.912557829508882,5.58268406207609e-06
SYN3,1070.94639682756,64.7411212953363,4771.06811866835,1239.47735371585,6.20238746761786,4.25785017299084,2.34032852504681,-2.15104612233184,0.941351924219902,0.0351904427453709,0.967038523942237,0.0329614760577633,0.910323575307798,0.00115992893601363
OSM,15.3998153117481,1.73659163847015,70.7591943806845,2.27010504343562,5.30865488234429,0.376980210243082,1.97876988948115,-4.55783613977196,0.909946357376542,0.000385537741969247,0.99536764312031,0.00463235687968975,0.9057311611078,1.78594841139129e-06
RPIA,265.178251097145,13.1509903258389,797.766770791985,151.529511649328,5.91733938205252,3.5213566954258,2.03547458316626,-2.81044390069093,0.923905492189789,0.0105920892295191,0.976186887690215,0.0238131123097854,0.901904426940646,0.000252230610417807
MYNN,86.8548707434421,3.10055434178373,188.115907012064,20.4309453909206,5.90025575174298,2.70060471195524,1.935076006079,-3.48632363600029,0.909022991099357,0.00315906738574898,0.985768956286219,0.0142310437137814,0.89608664517619,4.4956826061375e-05
UGT2B15,33.9563303719265,1.48770366991367,85.8602419619281,9.08042017374249,5.80398072122635,2.56990374420542,1.90996731371075,-3.52824204058659,0.907471557242443,0.00280626592820003,0.986629108486779,0.0133708915132214,0.89533785349922,3.75222772832121e-05
TRNT1,95.4586506456922,7.5728045813408,330.928671280396,14.7556827823315,5.44027254898217,0.957757227026083,1.90761205245431,-4.44762204884063,0.899462981507733,0.000195501832639161,0.995008662036335,0.00499133796366537,0.894973457781222,9.75815719218e-07
GGA1,315.251552221442,18.8451838424773,895.707850818908,99.8846219111674,5.56701832229376,2.40296602447839,1.87845217732743,-3.49204423966292,0.903988836055409,0.00242093002124478,0.984600716922751,0.0153992830772495,0.890068056070319,3.72805867073601e-05
MED15,1040.13062178194,64.6103501519546,3859.39630326355,1387.60170780002,5.89936875535459,4.42362037534317,2.00274139331791,-2.06043395245797,0.918234593610546,0.0438291735336853,0.955262897573886,0.0447371024261143,0.87715543854499,0.00196079022562842
ZBTB7B,275.834079125939,14.0115529506142,1111.00564347721,688.976880682711,6.30403132712844,5.61473242839891,2.32264648651896,-1.04706087041792,0.94921773645599,0.207422781736171,0.922000290490824,0.0779997095091762,0.875179028751465,0.0161789167210066
PLEKHG4B,181.444115167716,28.3774563767529,1008.74997842707,171.960457040248,5.14921132393707,2.59713935254722,1.76416377322845,-3.13249122417418,0.893035961527925,0.00607990952777986,0.977738762215133,0.0222612377848674,0.873155875637914,0.000135346311708388
TUBG1,55.1539509866908,2.23647662861761,109.590459589597,6.81031513030687,5.58351029792497,1.58514867587005,1.6589770156456,-4.22114071100751,0.873345017813087,0.000516754811242767,0.991882930336735,0.00811706966326456,0.866256015463433,4.19453480168466e-06
ACTB,34.220515100119,3.46896517087136,109.159001087275,4.54021008687125,4.95579672391965,0.38340895007412,1.62185069556192,-4.6489653338932,0.866298801445568,0.000183059604954484,0.994512308531684,0.00548769146831638,0.861544820903863,1.00457463230209e-06
MOXD1,23.818232261152,1.48770366991367,94.9208705106743,46.5371533904303,5.94863566333033,4.92108276613192,2.00854375213361,-1.70248975929584,0.91530737677222,0.0920495616152596,0.937937504946648,0.0620624950533519,0.858501117228998,0.00571282546241026
CAMK2B,804.915369286436,51.8558913623298,1888.06240615778,124.855777388959,5.18490255090566,1.26687000878262,1.53365548407265,-4.27626402339852,0.86569114904569,0.000363935142426176,0.990137360526786,0.00986263947321353,0.8571531493475,3.58936110138199e-06
DZIP1L,7.98529188037143,0.24888796855649,34.5166801856997,19.2958928692028,6.8536334184266,6.01627868075932,2.11527900327838,-1.38358697995642,0.915667022339278,0.146447714110268,0.930308231566085,0.0696917684339147,0.851852568255837,0.0102062001794489
TDO2,241.761541206825,13.0314674653078,442.676423381599,23.2685766952151,5.08081918578704,0.833955342971291,1.42255823266111,-4.62316363791336,0.837103499950756,0.000196149179607013,0.992516897803797,0.00748310219620327,0.830839368911825,1.46780435670071e-06
DAAM2,63.7818474547578,2.10992359130489,95.7837875153168,9.08042017374249,5.47148220542439,2.0797009762477,1.40998227852376,-3.95956187383757,0.837604014045551,0.00100831675918689,0.984666383732881,0.0153336162671191,0.824760515510377,1.54611422610769e-05
ITFG2,73.8400170534617,3.59762726121855,136.340886733514,10.7829989563192,5.22464512754266,1.57040246914179,1.41752654006194,-4.16440065352912,0.831797238819178,0.000567633489948047,0.989300149384477,0.0106998506155235,0.822897132621408,6.07359354681234e-06
